"FUJIFILM VisualSonics Measurement Export"
"Institution",""
"Report Date","28/04/2025"

"Version Information"
"Company Name","Model","SW Version","SW Build","Report Version"
"FUJIFILM VisualSonics, Inc.","Vevo LAB","5.9.0","3539","8"

"Study","1"
"Study Name","JM_InVivo2_WholeHeart_20Gy_Blinded"
"Owner User Name","Administrator"
"Granting Institution",""
"Study Date","27/08/2024"
"Study Time","17:48:21"
"Study Notes",""


"Series Name","88"
"Acquired By","Jenasee"
"Series Date","01/11/2024"
"Series Time","19:39:08"
"Animal ID",""
"Sex",""
"Series Notes",""
"Application",""
"Measurement Package",""
"Color",""
"Strain",""
"Source",""
"Weight",""
"Type",""
"Date of Birth",""
"Temperature",""
"Heart Rate",""
"Anesthetic Type",""
"Anesthetic On",""
"Anesthetic Off",""
"Protocol ID",""
"Protocol Name",""
"Injectable",""
"Injection Site",""
"Injection Amount",""



"Measurement File","VSI_GenericPackage.sxml"
"Measurement Version","0"
"Measurement Description","Generic Package"

,,,
"Measurement","Mode","Parameter","Units","Value"
"AutoLV 120","B-Mode","Heart Rate","BPM","409.137402",
"AutoLV 120","B-Mode","Area","mm2","29.300926",
"AutoLV 120","B-Mode","Area;s","mm2","31.122229",
"AutoLV 120","B-Mode","Area;d","mm2","71.780201",
"AutoLV 120","B-Mode","Volume","uL","69.756458",
"AutoLV 120","B-Mode","Volume;s","uL","75.803773",
"AutoLV 120","B-Mode","Volume;d","uL","313.259298",
"AutoLV 120","B-Mode","Stroke Volume","uL","237.455524",
"AutoLV 120","B-Mode","Ejection Fraction","%","75.801589",
"AutoLV 120","B-Mode","Fractional Shortening","%","16.940884",
"AutoLV 120","B-Mode","Cardiac Output","mL/min","97.151936",
"AutoLV 120","B-Mode","Cycles","","3.000000",


