"FUJIFILM VisualSonics Measurement Export"
"Institution",""
"Report Date","25/04/2025"

"Version Information"
"Company Name","Model","SW Version","SW Build","Report Version"
"FUJIFILM VisualSonics, Inc.","Vevo LAB","5.9.0","3539","8"

"Study","1"
"Study Name","JM_InVivo2_WholeHeart_20Gy_Blinded"
"Owner User Name","Administrator"
"Granting Institution",""
"Study Date","27/08/2024"
"Study Time","17:48:21"
"Study Notes",""


"Series Name","13"
"Acquired By","Jenasee"
"Series Date","21/11/2024"
"Series Time","16:39:49"
"Animal ID",""
"Sex",""
"Series Notes",""
"Application",""
"Measurement Package",""
"Color",""
"Strain",""
"Source",""
"Weight",""
"Type",""
"Date of Birth",""
"Temperature",""
"Heart Rate",""
"Anesthetic Type",""
"Anesthetic On",""
"Anesthetic Off",""
"Protocol ID",""
"Protocol Name",""
"Injectable",""
"Injection Site",""
"Injection Amount",""



"Measurement File","VSI_GenericPackage.sxml"
"Measurement Version","0"
"Measurement Description","Generic Package"

,,,
"Measurement","Mode","Parameter","Units","Value"
"AutoLV 20","B-Mode","Heart Rate","BPM","387.346675",
"AutoLV 20","B-Mode","Area","mm2","41.417324",
"AutoLV 20","B-Mode","Area;s","mm2","35.515252",
"AutoLV 20","B-Mode","Area;d","mm2","64.694680",
"AutoLV 20","B-Mode","Volume","uL","128.543799",
"AutoLV 20","B-Mode","Volume;s","uL","93.338672",
"AutoLV 20","B-Mode","Volume;d","uL","268.029445",
"AutoLV 20","B-Mode","Stroke Volume","uL","174.690773",
"AutoLV 20","B-Mode","Ejection Fraction","%","65.175964",
"AutoLV 20","B-Mode","Fractional Shortening","%","14.879101",
"AutoLV 20","B-Mode","Cardiac Output","mL/min","67.665890",
"AutoLV 20","B-Mode","Cycles","","3.000000",


