"FUJIFILM VisualSonics Measurement Export"
"Institution",""
"Report Date","02/05/2025"

"Version Information"
"Company Name","Model","SW Version","SW Build","Report Version"
"FUJIFILM VisualSonics, Inc.","Vevo LAB","5.9.0","3539","8"

"Study","1"
"Study Name","JM_InVivo2_WholeHeart_20Gy_Blinded"
"Owner User Name","Administrator"
"Granting Institution",""
"Study Date","27/08/2024"
"Study Time","17:48:21"
"Study Notes",""


"Series Name","117"
"Acquired By","Jenasee"
"Series Date","31/08/2024"
"Series Time","18:15:32"
"Animal ID",""
"Sex",""
"Series Notes",""
"Application","Cardiac"
"Measurement Package",""
"Color",""
"Strain",""
"Source",""
"Weight",""
"Type",""
"Date of Birth",""
"Temperature",""
"Heart Rate",""
"Anesthetic Type",""
"Anesthetic On",""
"Anesthetic Off",""
"Protocol ID",""
"Protocol Name",""
"Injectable",""
"Injection Site",""
"Injection Amount",""



"Measurement File","VSI_CardiacPackage.sxml"
"Measurement Version","5"
"Measurement Description","Cardiac Package"

"Protocol Name","PSLAX B-Mode"
,,,
"Measurement","Mode","Parameter","Units","Instance 1"
"LV Trace","B-Mode","Heart Rate","BPM","418.628990",
"LV Trace","B-Mode","Area","mm2","34.847759",
"LV Trace","B-Mode","Area;s","mm2","33.943376",
"LV Trace","B-Mode","Area;d","mm2","64.661061",
"LV Trace","B-Mode","Volume","uL","98.011109",
"LV Trace","B-Mode","Volume;s","uL","94.396773",
"LV Trace","B-Mode","Volume;d","uL","286.603548",
"LV Trace","B-Mode","Stroke Volume","uL","192.206776",
"LV Trace","B-Mode","Ejection Fraction","%","67.063641",
"LV Trace","B-Mode","Fractional Shortening","%","15.571143",
"LV Trace","B-Mode","Cardiac Output","mL/min","80.463328",

Calculation,,Units,
"Area;d (LV Trace)",,"mm2",64.661061,
"Area;s (LV Trace)",,"mm2",33.943376,
"CO (LV Trace)",,"mL/min",80.463328,
"EF (LV Trace)",,"%",67.063641,
"FS (LV Trace)",,"%",15.571143,
"SV (LV Trace)",,"uL",192.206776,
"V;d (LV Trace)",,"uL",286.603548,
"V;s (LV Trace)",,"uL",94.396773,



