"FUJIFILM VisualSonics Measurement Export"
"Institution",""
"Report Date","18/06/2025"

"Version Information"
"Company Name","Model","SW Version","SW Build","Report Version"
"FUJIFILM VisualSonics, Inc.","Vevo LAB","5.9.0","3539","8"

"Study","1"
"Study Name","JM_InVivo2_20Gy_30wk"
"Owner User Name","Administrator"
"Granting Institution",""
"Study Date","01/05/2025"
"Study Time","15:33:47"
"Study Notes",""


"Series Name","31"
"Acquired By","Jenasee"
"Series Date","10/06/2025"
"Series Time","18:34:42"
"Animal ID",""
"Sex",""
"Series Notes",""
"Application",""
"Measurement Package",""
"Color",""
"Strain",""
"Source",""
"Weight",""
"Type",""
"Date of Birth",""
"Temperature",""
"Heart Rate",""
"Anesthetic Type",""
"Anesthetic On",""
"Anesthetic Off",""
"Protocol ID",""
"Protocol Name",""
"Injectable",""
"Injection Site",""
"Injection Amount",""



"Measurement File","VSI_GenericPackage.sxml"
"Measurement Version","0"
"Measurement Description","Generic Package"

,,,
"Measurement","Mode","Parameter","Units","Value"
"AutoLV 42","B-Mode","Heart Rate","BPM","401.673640",
"AutoLV 42","B-Mode","Area","mm2","73.794361",
"AutoLV 42","B-Mode","Area;s","mm2","49.690714",
"AutoLV 42","B-Mode","Area;d","mm2","77.907531",
"AutoLV 42","B-Mode","Volume","uL","343.953799",
"AutoLV 42","B-Mode","Volume;s","uL","174.889792",
"AutoLV 42","B-Mode","Volume;d","uL","371.670548",
"AutoLV 42","B-Mode","Stroke Volume","uL","196.780755",
"AutoLV 42","B-Mode","Ejection Fraction","%","52.944942",
"AutoLV 42","B-Mode","Fractional Shortening","%","12.523062",
"AutoLV 42","B-Mode","Cardiac Output","mL/min","79.041642",
"AutoLV 42","B-Mode","Cycles","","3.000000",


